Song_ID,Song_Name,Song_Duration
"1","I Don't mind","148.723809523"
"2","You've got a Friend","202.321473922"
"3","The Rose","219.72648526"
"4","An Innocent Man","318.003083900"
"5","Lookin' for Love ","208.491972789"
"6","Last Child","193.284240362"
"7","She Bop","225.488979591"
"8","Kiss On My List","228.391927437"
"9","Here's Some Love","176.293877551"
"10","Just Can't Wait","204.056961451"
"11","Never My Love","234.667573696"
"12","And She Was","217.129795918"
"13","Chicago ","236.100498866"
"14","Swing Talkin' Guy","145.580498866"
"15","Rock 'n' Roll Fantasy ","195.233378684"
"16","The Joker ","214.854240362"
"17","Indiana Wants Me","187.809886621"
"18","Crazy On You","290.293174603"
"19","Yvonne Elliman","175.754716553"
"20","Jimi Hendrix","262.385487528"
"21","Foggy Mountain Breakdown","158.824489795"
"22","It's Only Rock and Roll (But I Like It) ","304.871428571"
"23","The Power","217.826394557"
"24","Absolutely Right","137.880090702"
"25","Two Hearts","201.827845804"
"26","Some Like It Hot","304.167097505"
"27","I'll Take You There","191.279319727"
"28","People","219.159183673"
"29","Love Me Do","138.042630385"
"30","Carrie","220.93786848"
"31","Over The Hills and Far Away","300.568707482"
"32","Last Kiss","144.567437641"
"33","Smoking Gun","237.261496598"
"34","I Love You So","174.08"
"35","Is That All There Is","259.808072562"
"36","I Put A Spell On You","252.988662131"
"37","Hurts To Be In Love","219.498231292"
"38","Cry Softly Lonely One","169.885714285"
"39","Do You Love Me","171.316825396"
"40","Bongo Stomp","133.328979591"
"41","Black Cars","187.942312925"
"42","Hot Fun In The Summertime","155.295056689"
"43","Paradise by the Dashboard Light","561.702312925"
"44","Get Together","274.947482993"
"45","Crazy On You","290.293174603"
"46","Nowhere To Run ","175.124897959"
"47","Drivin' Wheel","267.563537414"
"48","Reminiscing","207.402970521"
"49","Dial My Heart","259.552653061"
"50","Cold Sweat - Part 1","170.318367346"
"51","You Can Call Me Al","277.640997732"
"52","Red Red Wine","315.559183673"
"53","I Just Can't Stop Loving You","250.207596371"
"54","Space Oddity","311.608163265"
"55","Buy For Me The Rain","141.154104308"
"56","Fire And Ice","199.248299319"
"57","True","337.455600907"
