Song_ID,Song_Name,Artist,Metre,Tonic
"1","I Don't mind","James Brown","6/8","C"
"2","You've got a Friend","Roberta Flack and Donny Hathaway","4/4","Ab"
"3","The Rose","Bette Midler","4/4","C"
"4","An Innocent Man","Billy Joel","4/4","C"
"5","Lookin' for Love ","Johnny Lee","4/4","D"
"6","Last Child","Aerosmith","4/4","Eb"
"7","She Bop","Cyndi Lauper","4/4","A"
"8","Kiss On My List","Hall & Oates","4/4","C"
"9","Here's Some Love","Tanya Tucker","4/4","Db"
"10","Just Can't Wait","The J. Geils Band","4/4","G"
"11","Never My Love","The 5th Dimension","4/4","G"
"12","And She Was","Talking Heads","4/4","E"
"13","Chicago ","Graham Nash","4/4","A"
"14","Swing Talkin' Guy","Chiffons","4/4","B"
"15","Rock 'n' Roll Fantasy ","Bad Company","4/4","E"
"16","The Joker ","Steve Miller Band","4/4","F"
"17","Indiana Wants Me","R Dean Tayloy","4/4","Ab"
"18","Crazy On You","Heart","4/4","A"
"19","Yvonne Elliman","If I Can't Have You","4/4","C"
"20","Jimi Hendrix","Freedom","4/4","C"
"21","Foggy Mountain Breakdown","Flatt & Scruggs","4/4","Ab"
"22","It's Only Rock and Roll (But I Like It) ","Rolling Stones","4/4","E"
"23","The Power","Snap","4/4","B"
"24","Absolutely Right","Five Man Electrical Band","4/4","A"
"25","Two Hearts","Phil Collins","4/4","G"
"26","Some Like It Hot","The Power Station","4/4","E"
"27","I'll Take You There","The Staple Singers","4/4","C"
"28","People","Barbara Streisand","4/4","A"
"29","Love Me Do","Beatles","4/4","G"
"30","Carrie","Cliff Richard","4/4","D"
"31","Over The Hills and Far Away","Led Zeppelin","4/4","G"
"32","Last Kiss","J. Frank Wilson & The Cavaliers","4/4","E"
"33","Smoking Gun","The Robert Cray Band","4/4","E"
"34","I Love You So","Bobbi Martin","4/4","Bb"
"35","Is That All There Is","Peggy Lee","3/4","C"
"36","I Put A Spell On You","Creedence Clearwater Revival","12/8","E"
"37","Hurts To Be In Love","Gino Vanelli","4/4","E"
"38","Cry Softly Lonely One","Roy Orbison","4/4","G"
"39","Do You Love Me","The Contours","4/4","F"
"40","Bongo Stomp","Little Joey & The Flips","4/4","Eb"
"41","Black Cars","Gino Vannelli","4/4","E"
"42","Hot Fun In The Summertime","Sly & The Family Stone","4/4","C"
"43","Paradise by the Dashboard Light","Meatloaf","4/4","C"
"44","Get Together","The Youngbloods","4/4","A"
"45","Crazy On You","Heart","4/4","A"
"46","Nowhere To Run ","Martha Reeves & The Vandellas","4/4","Ab"
"47","Drivin' Wheel","Foghat","4/4","D"
"48","Reminiscing","Little River Band","4/4","D"
"49","Dial My Heart","The Boys","4/4","A"
"50","Cold Sweat - Part 1","James Brown","4/4","D"
"51","You Can Call Me Al","Paul Simon","4/4","F"
"52","Red Red Wine","UB40","4/4","Db"
"53","I Just Can't Stop Loving You","Michael Jackson","4/4","C"
"54","Space Oddity","David Bowie","4/4","E"
"55","Buy For Me The Rain","Nitty Gritty Dirt Band","4/4","C"
"56","Fire And Ice","Pat Benetar","4/4","C"
"57","True","Spandau Ballet","4/4","G"
"58","Shock the Monkey","Peter Gabriel","4/4","D"
"59","Wild Horses","Rolling Stones","4/4","G"
"60","Drivin' Wheel","Foghat","4/4","D"
"61","Motown Philly ","Boyz II Men","4/4","D"
"62","A Trick Of The Night","Bananarama","4/4","C"
"63","Maggie May","Rod Stewart","4/4","D"
"64","A Lesson in Leavin","Dottie West","4/4","B"
"65","For The Good Times","Ray Price","4/4","Eb"
"66","We Two","Little River Band","4/4","A"
"67","The Spirit of Radio","Rush","4/4","E"
"68","If","Bread","4/4","A"
"69","Sweet Home Alabama","Lynyrd Skynyrd","4/4","G"
"70","Ma belle amie","The tee set","4/4","G"
"71","Eight Miles High ","The Byrds","4/4","E"
"72","Letter Full of Tears","Gladys Knight & The Pips","4/4","E"
"73","Sunshine of Your Love","Cream","4/4","D"
"74","Sweet Little Rock N' Roll","Chuck Berry","4/4","G"
"75","Let It Rain","Eric Clapton","4/4","D"
"76","Stand By Me","David Ruffin, Jimmy Ruffin","4/4","G"
"77","Be My Baby","The Ronettes","4/4","E"
"78","Have You Ever Loved Somebody","Freddie Jackson","4/4","E"
"79","Silent Night","Bing Crosby","3/4","Ab"
"80","Promises","Eric Clapton","4/4","G"
"81","Willie Nelson","Blue Eyes Cryin' ","4/4","E"
"82","Stop the Wedding","Etta James","12/8","Bb"
"83","Brandy","Looking Glass","4/4","E"
"84","Tumbling Dice","The Rolling Stones","4/4","B"
"85","I wouldn't Have Missed it For The World","Ronnie Milsap","4/4","G"
"86","Detroit City","Bobby Bare","4/4","E"
"87","I Had Too Much To Dream","Electric Prunes","4/4","D"
"88","The Way You Do The Things You Do","UB40","4/4","Ab"
"89","La Grange","ZZ Top","4/4","A"
"90","Shock the Monkey","Peter Gabriel","4/4","D"
"91","Runaround Sue","Dion","4/4","D"
"92","Wheels ","The String-A-Longs","4/4","F"
"93","Spirits In The Material World","The Police","4/4","A"
"94","Just When I Needed You Most","Randy Vanwarmer","4/4","A"
"95","What's Love Got To Do With It","Tina Turner","4/4","G#"
"96","Walk Right Back","The Everly Brothers","4/4","Db"
"97","Lonely Eyes","Robert John","4/4","F"
"98","Forever Man","Eric Clapton","4/4","D"
"99","Sleep Walk","Santo & Johnny","6/8","Db"
"100","Something About You","Level 42","4/4","E"
"101","Little Sister","Elvis Presley ","4/4","E"
"102","If you need me","Solomon Burke ","4/4","A"
"103","Sweet Nothin's","Brenda Lee","4/4","G"
"104","No Charge","Melba Montgomery","3/4","G"
"105","The Animals ","San Franciscan Nights ","4/4","C"
"106","Don Gibson","Sea of Heartbreak ","4/4","G"
"107","Golden Earring","Twilight Zone","4/4","B"
"108","If you need me","Solomon Burke ","4/4","A"
"109","Chicago","25 or 6 to 4","4/4","A"
"110","I've Got Love On My Mind","Nathalie Cole","4/4","Db"
"111","You Can't Judge A Book By The Cover","Bo Diddley","4/4","Ab"
"112","Gordon Lightfoot","Beautiful ","4/4","B"
"113","Naked Eyes","Always Something There to Remind Me","4/4","D"
"114","Annie's Song","John Denver","3/4","D"
"115","Chiquitita","ABBA","4/4","A"
"116","Always on My Mind","Pet Shop Boys","4/4","G"
"117","Just A Dream","Jimmy Clanton","12/8","G"
"118","Help Is On The Way","Little River Band","4/4","B"
"119","I Want You To Want Me","Cheap Trick","4/4","A"
"120","Never Can Say Goodbye","Gloria Gaynor","4/4","C"
"121","People Got To Be Free","The Rascals","4/4","F"
"122","Unforgettable","Dinah Washington","12/8","F"
"123","Shadow Dancing","Andy Gibb","4/4","G"
"124","Willie And The Hand Jive","Eric Clapton","4/4","A"
"125","Schoool's out","Alice Cooper","4/4","F#"
"126","Love Me Warm And Tender","Paul Anka","4/4","D"
"127","Along Comes A Woman","Chicago","4/4","D"
"128","Could I Have This Dance","Anne Murray","3/4","B"
"129","Love Train","The O'Jays","4/4","C"
"130","Wonderful World, Beautiful People","Jimmy Cliff","4/4","D"
"131","I Want To Take You Higher","Ike & Tina Turner","4/4","Ab"
"132","Pressure","Billy Joel","4/4","D"
"133","Maybe I'm Amazed","Paul McCartney","4/4","D"
"134","Back in the High Life Again","Steve Winwood","4/4","D"
"135","Another Rainy Day in New York City","Chicago","4/4","A"
"136","Already Gone","The Eagles","4/4","G"
"137","She's A Lady","Tom Jones","4/4","D"
"138","It's Gonna Work Out Fine","Ike & Tina Turner","4/4","C"
"139","Comin' Home Baby","Mel Torme","4/4","G"
"140","The Right Time","Ray Charles","4/4","Eb"
"141","Magic Man","Heart","4/4","G"
"142","Do your thing","Isaac Hayes","4/4","F"
"143","Jessie's Girl","Rick Springfield","4/4","D"
"144","Fernando","Abba","4/4","A"
"145","Ramblin' Rose","Nat King Cole","4/4","A"
