Song_ID,Tonic,Chords
1,C,"A:min,A:min,C:maj,C:maj,A:min,A:min,C:maj,C:maj,A:min,A:min,C:maj,C:maj,A:min,A:min,C:maj,C:maj,A:min,A:min,C:maj,C:maj,F:maj,F:maj,D:maj,D:maj,G:maj,G:maj,C:maj,C:maj,A:maj,A:maj,C:maj,C:maj,A:maj,A:maj,C:maj,C:maj,F:maj,F:maj,D:maj,D:maj,G:maj,G:maj,C:maj,C:maj,A:min,A:min,C:maj,C:maj,A:min,A:min,C:maj,C:maj,F:maj,F:maj,D:maj,D:maj,G:maj,G:maj,C:maj,C:maj,A:maj,A:maj,C:maj,C:maj,A:maj,A:maj,C:maj,C:maj,F:maj,F:maj,D:maj,D:maj,G:maj,G:maj,C:maj,C:maj,A:min,A:min,C:maj,C:maj,A:min,A:min,C:maj,C:maj,A:min,"
2,Ab,"Ab:maj,Db:maj,Ab:maj,G:hdim7 C:7,F:min,C:7,F:min C:7,F:min,Bb:min7,Eb:7,Ab:maj,Ab:maj,G:hdim7,C:7,F:min C:7,F:min,Bb:min7,C:min7,Eb:11,Eb:maj,Ab:maj,Ab:7,Db:maj,Db:maj,Ab:maj,Ab:maj,Eb:7,Eb:7,Ab:maj,Ab:maj7,Db:maj,Gb:maj Db:maj,Db:maj7 C:min7,Bb:min7,Ab:maj,Gb:maj(9),Db:maj,Ab:maj,Ab:maj,Db:maj,Gb:7,F:min7,Bb:min7,Eb:11,Eb:maj,Ab:maj,Ab:7,Db:maj,Db:maj,Ab:maj,Ab:maj,Eb:7,Eb:7,Ab:maj,Ab:maj7,Db:maj,Gb:maj Db:maj,Db:maj7 C:min7,Bb:min7,Ab:maj,Db:maj,Ab:maj,Db:maj,Ab:maj,Db:maj,Ab:maj,Db:maj,Ab:maj,Db:maj,Ab:maj,Db:maj,"
3,C,"C:5,C:maj,G:maj,F:maj,C:maj,C:maj,G:maj,F:maj,C:maj,C:maj,F:sus2,F:maj,F:maj,C:maj,G:maj,F:maj,C:maj(9),C:maj(9),C:maj(9),G:maj(9),F:maj(9),C:maj(9),C:maj(9),G:maj(9),F:maj(9),C:maj(9),E:min,A:min(11),F:maj(9),G:maj,C:maj(9),G:maj(9),F:maj(9),C:maj,C:maj,C:maj,G:maj,F:maj,C:maj,C:maj,G:maj,F:maj,C:maj,E:min,A:min(11),F:maj(9),G:maj(9),C:maj(9),G:maj(9),F:maj(9),C:maj(9),C:maj(9),C:maj(9),C:maj,"
4,C,"C:maj,C:maj,C:maj,D:min,D:min,F:maj,G:maj,G:maj,C:maj,C:maj,C:maj,D:min,D:min,F:maj,G:maj,G:maj,C:maj,G:min7,C:maj,Bb:maj,F:maj,G:maj,C:maj,C:maj,D:min,D:min,F:maj,G:maj,G:maj,C:maj,C:maj,C:maj,D:min,D:min,F:maj,G:maj,G:maj,C:maj,C:maj F:maj,C:maj,C:maj D:min7,Bb:maj,F:maj Bb:maj,Bb:maj,F:maj G:maj,C:maj,C:maj,C:maj,D:min,D:min,F:maj,G:maj,G:maj,C:maj,C:maj,C:maj,D:min,D:min,F:maj,G:maj,G:maj,C:maj,G:min7,C:maj,Bb:maj,F:maj,G:maj,C:maj,C:maj,D:min,D:min,F:maj,G:maj,G:maj,C:maj,C:maj,C:maj,D:min,D:min,F:maj,G:maj,G:maj,C:maj,C:maj F:maj,C:maj,C:maj D:min7,Bb:maj,F:maj Bb:maj,Bb:maj,F:maj G:maj,C:maj,C:maj F:maj,C:maj,C:maj D:min7,G:min7,C:maj,Bb:maj,F:maj,G:maj,C:maj,C:maj,D:min,D:min,F:maj,G:maj,G:maj,C:maj,C:maj,C:maj,D:min,D:min,F:maj,G:maj,G:maj,C:maj,C:maj F:maj,C:maj,C:maj D:min7,Bb:maj,F:maj Bb:maj,Bb:maj,F:maj G:maj,C:maj,C:maj F:maj,C:maj,C:maj D:min7,G:maj,G:maj,C:maj,"
5,D,"E:min,G:maj,A:maj,E:min,G:maj,A:maj,A:maj,G:maj,G:maj,D:maj,D:maj,G:maj,D:maj,A:maj,A:maj,G:maj,G:maj,D:maj,D:maj,G:maj,D:maj,A:maj A:maj,A:maj,D:maj,D:maj,G:maj,G:maj,E:min F#:maj,G:maj A:maj,D:maj,D:maj,G:maj,E:min A:maj6,D:maj,D:maj,G:maj,G:maj,D:maj,D:maj,G:maj,D:maj,A:maj,A:maj,G:maj,G:maj,D:maj,D:maj,G:maj,D:maj,A:maj A:maj,A:maj,D:maj,D:maj,G:maj,G:maj,E:min F#:maj,G:maj A:maj,D:maj,D:maj,G:maj,E:min A:maj6,D:maj,D:maj,G:maj,G:maj,E:min F#:min,G:maj A:maj,A:maj,D:maj,D:maj,G:maj,G:maj,E:min F#:maj,G:maj A:maj,D:maj,D:maj,G:maj,E:min A:maj6,D:maj,D:maj,G:maj,G:maj,E:min F#:maj,G:maj A:maj,D:maj,D:maj,G:maj,E:min A:maj6,D:maj,D:maj,"
6,Eb,"Db:min(9),Db:min(9),Gb:maj6(b7),Gb:maj6(b7),Eb:7,Eb:7,Eb:7(#9),Eb:7(#9),Eb:7(#9),Eb:7(#9),Eb:7(#9),Eb:7(#9),Eb:7(#9),Eb:7(#9),Eb:7(#9),Eb:7(#9),Eb:7(#9),Eb:7(#9),Ab:7,Ab:7,Ab:7,Ab:7,Eb:7(#9),Eb:7(#9),Db:maj,Ab:maj,Eb:7(#9),Eb:7(#9),Eb:7(#9),Eb:7(#9),Eb:7(#9),Eb:7(#9),Eb:7(#9),Eb:7(#9),Eb:7(#9),Eb:7(#9),Ab:7,Ab:7,Ab:7,Ab:7,Eb:7(#9),Eb:7(#9),Db:maj,Ab:maj,Eb:7(#9),Eb:7(#9),Eb:7(#9),Eb:7(#9),Eb:7(#9),Eb:7(#9),Eb:7(#9),Eb:7(#9),Db:maj,Ab:maj,Eb:7(#9),Eb:7(#9),Db:maj,Ab:maj,Eb:7(#9),Eb:7(#9),Eb:7(#9),Eb:7(#9),Eb:7(#9),Eb:7(#9),Eb:7(#9),Eb:7(#9),Eb:7(#9),Eb:7(#9),Eb:7(#9),Eb:7(#9),"
7,A,"A:min,A:min,A:min,A:min,A:min,A:min,A:min,A:min,A:min,A:min,A:min,A:min,A:min,A:min,A:min,A:min,F:maj,F:maj,G:maj,G:maj,A:min,A:min,A:min,A:min,A:min,A:min,A:min,A:min,A:min,A:min,A:min,A:min,F:maj,F:maj,G:maj,G:maj,A:min,A:min,A:min,A:min,D:min,D:min,C:maj,F:maj,G:maj,E:7,A:min,A:min,D:min,D:min,C:maj,F:maj,G:maj,E:7,A:min,A:min,A:min,A:min,A:min,A:min,A:min,A:min,A:min,A:min,A:min,A:min,F:maj,F:maj,G:maj,G:maj,A:min,A:min,A:min,A:min,A:min,A:min,A:min,A:min,A:min,A:min,A:min,A:min,F:maj,F:maj,G:maj,G:maj,A:min,A:min,A:min,A:min,D:min,D:min,C:maj,F:maj,G:maj,E:7,A:min,A:min,D:min,D:min,C:maj,F:maj,G:maj,E:7,A:min,A:min,A:min,A:min,D:min,D:min,C:maj,F:maj,G:maj,E:7,A:min,A:min,D:min,D:min,C:maj,F:maj,G:maj,E:7,A:min,A:min,A:min,A:min,A:min,A:min,"
8,C,"C:maj G:maj,A:min,C:min7,C:min7,F:maj,F:maj,C:maj,C:maj,C:min,C:min,F:min,F:min,Ab:maj,Bb:maj,C:maj(9),C:maj(9),C:min,C:min,F:min,F:min,Ab:maj,Bb:maj,C:maj(9),C:maj(9),F:sus2 F:min,G:min7,F:min9,G:min7,F:min9,G:min7,F:min9,F:maj,C:maj G:maj,A:min,C:min7,C:min7,F:maj,F:maj,C:maj,C:maj,C:maj G:maj,A:min,C:min7,C:min7,F:maj,F:maj,C:maj,C:maj,C:min,C:min,F:min,F:min,Ab:maj,Bb:maj,C:maj(9),C:maj(9),C:min,C:min,F:min,F:min,Ab:maj,Bb:maj,C:maj(9),C:maj(9),F:sus2 F:min,G:min7,F:min9,G:min7,F:min9,G:min7,F:min9,F:maj,C:maj G:maj,A:min,C:min7,C:min7,F:maj,F:maj,C:maj,C:maj,G:maj,G:maj,F:maj,F:maj,A:hdim7,A:hdim7,D:min7,G:11,C:maj G:maj,A:min,C:min7,C:min7,F:maj,F:maj,C:maj,C:maj,C:maj G:maj,A:min,C:min7,C:min7,F:maj,F:maj,C:maj,C:maj,C:maj G:maj,A:min,C:min7,C:min7,F:maj,F:maj,C:maj,C:maj,C:maj G:maj,A:min,C:min7,C:min7,F:maj,"
9,Db,"Bb:min,Eb:min,Gb:maj6,Ab:maj,Db:maj,Db:maj Gb:maj,Ab:maj Db:maj,Db:maj Gb:maj,Ab:maj,Db:maj Gb:maj,Ab:maj Db:maj,Bb:min Bb:min,Ab:maj,Gb:maj,Db:maj,Ab:maj,Db:maj Db:7,Gb:maj,Db:maj,Ab:maj,Gb:maj Db:maj,Bb:min,Eb:min,Gb:maj6,Ab:maj,Db:maj,Db:maj Gb:maj,Ab:maj Db:maj,Db:maj Gb:maj,Ab:maj,Db:maj Gb:maj,Ab:maj Db:maj,Bb:min Bb:min,Ab:maj,Gb:maj,Db:maj,Ab:maj,Db:maj Db:7,Gb:maj,Db:maj,Ab:maj,Bb:min,Gb:maj,Db:maj,Ab:maj,Db:maj Db:7,Gb:maj,Db:maj,Ab:maj,Gb:maj Db:maj,"
10,G,"G:maj,D:maj,C:maj,D:maj,G:maj,D:maj,C:maj,D:maj,G:maj,D:maj,C:maj,D:maj,G:maj,D:maj,C:maj,D:maj,G:maj,D:maj,C:maj,E:min,G:maj,D:maj,C:maj,E:min,A:min,B:min,E:min,E:min,A:min,B:min,C:maj,D:maj,G:maj,D:maj,C:maj,D:maj,G:maj,D:maj,C:maj,D:maj,G:maj,D:maj,C:maj,E:min,G:maj,D:maj,C:maj,E:min,A:min,B:min,E:min,E:min,A:min,B:min,C:maj,D:maj,G:maj,D:maj,C:maj,D:maj,G:maj,D:maj,C:maj,D:maj,E:min,D:maj,E:min D:maj,C:maj,E:min,D:maj,E:min D:maj,C:maj,C:maj,G:maj,D:maj,C:maj,D:maj,G:maj,D:maj,C:maj,D:maj,G:maj,D:maj,C:maj,D:maj,G:maj,D:maj,C:maj,D:maj,A:min,B:min,E:min,E:min,A:min,B:min,C:maj,D:maj,D:maj,G:maj,D:maj,C:maj,D:maj,G:maj,D:maj,C:maj,D:maj,G:maj,D:maj,C:maj,D:maj,G:maj,D:maj,C:maj,D:maj,G:maj,D:maj,C:maj,D:maj,G:maj,D:maj,C:maj,D:maj,G:maj C:maj,G:maj C:maj,G:maj C:maj,G:maj,"
11,G,"D:maj,G:maj,G:maj,G:maj,G:maj,G:maj,D:maj,F:maj,C:maj G:maj,E:min,G:maj7,C:maj7,G:maj,G:maj,D:maj,F:maj,C:maj G:maj,E:min,G:maj,C:maj,G:maj,B:sus4(b7,E:min7,D:maj G:maj,C:maj C:maj7,C:maj6,B:min,D:maj,G:maj,D:maj,F:maj,C:maj G:maj,E:min,G:maj,D:maj7,A:maj,A:maj,E:maj,G:maj,D:maj A:maj,A:maj,D:maj,A:maj,E:maj A:maj,D:maj7 D:maj6,D:maj6,D:maj13,D:maj13,A:maj,A:maj,F:maj G:maj,A:maj,"
