Song_ID,Tonic,Chords
1,C,"VI:min,VI:min,I:maj,I:maj,VI:min,VI:min,I:maj,I:maj,VI:min,VI:min,I:maj,I:maj,VI:min,VI:min,I:maj,I:maj,VI:min,VI:min,I:maj,I:maj,IV:maj,IV:maj,II:maj,II:maj,V:maj,V:maj,I:maj,I:maj,VI:maj,VI:maj,I:maj,I:maj,VI:maj,VI:maj,I:maj,I:maj,IV:maj,IV:maj,II:maj,II:maj,V:maj,V:maj,I:maj,I:maj,VI:min,VI:min,I:maj,I:maj,VI:min,VI:min,I:maj,I:maj,IV:maj,IV:maj,II:maj,II:maj,V:maj,V:maj,I:maj,I:maj,VI:maj,VI:maj,I:maj,I:maj,VI:maj,VI:maj,I:maj,I:maj,IV:maj,IV:maj,II:maj,II:maj,V:maj,V:maj,I:maj,I:maj,VI:min,VI:min,I:maj,I:maj,VI:min,VI:min,I:maj,I:maj,VI:min,"
2,Ab,"I:maj,IV:maj,I:maj,VII:hdim7 C,VI:min,III:7,VI:min C,VI:min,II:min7,V:7,I:maj,I:maj,VII:hdim7,III:7,VI:min C,VI:min,II:min7,III:min7,V:11,V:maj,I:maj,I:7,IV:maj,IV:maj,I:maj,I:maj,V:7,V:7,I:maj,I:maj7,IV:maj,bVII:maj Db,IV:maj7 C,II:min7,I:maj,bVII:maj(9),IV:maj,I:maj,I:maj,IV:maj,bVII:7,VI:min7,II:min7,V:11,V:maj,I:maj,I:7,IV:maj,IV:maj,I:maj,I:maj,V:7,V:7,I:maj,I:maj7,IV:maj,bVII:maj Db,IV:maj7 C,II:min7,I:maj,IV:maj,I:maj,IV:maj,I:maj,IV:maj,I:maj,IV:maj,I:maj,IV:maj,I:maj,IV:maj,"
3,C,"I:5,I:maj,V:maj,IV:maj,I:maj,I:maj,V:maj,IV:maj,I:maj,I:maj,IV:sus2,IV:maj,IV:maj,I:maj,V:maj,IV:maj,I:maj(9),I:maj(9),I:maj(9),V:maj(9),IV:maj(9),I:maj(9),I:maj(9),V:maj(9),IV:maj(9),I:maj(9),III:min,VI:min(11),IV:maj(9),V:maj,I:maj(9),V:maj(9),IV:maj(9),I:maj,I:maj,I:maj,V:maj,IV:maj,I:maj,I:maj,V:maj,IV:maj,I:maj,III:min,VI:min(11),IV:maj(9),V:maj(9),I:maj(9),V:maj(9),IV:maj(9),I:maj(9),I:maj(9),I:maj(9),I:maj,"
4,C,"I:maj,I:maj,I:maj,II:min,II:min,IV:maj,V:maj,V:maj,I:maj,I:maj,I:maj,II:min,II:min,IV:maj,V:maj,V:maj,I:maj,V:min7,I:maj,bVII:maj,IV:maj,V:maj,I:maj,I:maj,II:min,II:min,IV:maj,V:maj,V:maj,I:maj,I:maj,I:maj,II:min,II:min,IV:maj,V:maj,V:maj,I:maj,I:maj F,I:maj,I:maj D,bVII:maj,IV:maj Bb,bVII:maj,IV:maj G,I:maj,I:maj,I:maj,II:min,II:min,IV:maj,V:maj,V:maj,I:maj,I:maj,I:maj,II:min,II:min,IV:maj,V:maj,V:maj,I:maj,V:min7,I:maj,bVII:maj,IV:maj,V:maj,I:maj,I:maj,II:min,II:min,IV:maj,V:maj,V:maj,I:maj,I:maj,I:maj,II:min,II:min,IV:maj,V:maj,V:maj,I:maj,I:maj F,I:maj,I:maj D,bVII:maj,IV:maj Bb,bVII:maj,IV:maj G,I:maj,I:maj F,I:maj,I:maj D,V:min7,I:maj,bVII:maj,IV:maj,V:maj,I:maj,I:maj,II:min,II:min,IV:maj,V:maj,V:maj,I:maj,I:maj,I:maj,II:min,II:min,IV:maj,V:maj,V:maj,I:maj,I:maj F,I:maj,I:maj D,bVII:maj,IV:maj Bb,bVII:maj,IV:maj G,I:maj,I:maj F,I:maj,I:maj D,V:maj,V:maj,I:maj,"
5,D,"II:min,IV:maj,V:maj,II:min,IV:maj,V:maj,V:maj,IV:maj,IV:maj,I:maj,I:maj,IV:maj,I:maj,V:maj,V:maj,IV:maj,IV:maj,I:maj,I:maj,IV:maj,I:maj,V:maj A,V:maj,I:maj,I:maj,IV:maj,IV:maj,II:min F#,IV:maj A,I:maj,I:maj,IV:maj,II:min A,I:maj,I:maj,IV:maj,IV:maj,I:maj,I:maj,IV:maj,I:maj,V:maj,V:maj,IV:maj,IV:maj,I:maj,I:maj,IV:maj,I:maj,V:maj A,V:maj,I:maj,I:maj,IV:maj,IV:maj,II:min F#,IV:maj A,I:maj,I:maj,IV:maj,II:min A,I:maj,I:maj,IV:maj,IV:maj,II:min F#,IV:maj A,V:maj,I:maj,I:maj,IV:maj,IV:maj,II:min F#,IV:maj A,I:maj,I:maj,IV:maj,II:min A,I:maj,I:maj,IV:maj,IV:maj,II:min F#,IV:maj A,I:maj,I:maj,IV:maj,II:min A,I:maj,I:maj,"
6,Eb,"bVII:min(9),bVII:min(9),bIII:maj6(b7),bIII:maj6(b7),I:7,I:7,I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:7(#9),IV:7,IV:7,IV:7,IV:7,I:7(#9),I:7(#9),bVII:maj,IV:maj,I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:7(#9),IV:7,IV:7,IV:7,IV:7,I:7(#9),I:7(#9),bVII:maj,IV:maj,I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:7(#9),bVII:maj,IV:maj,I:7(#9),I:7(#9),bVII:maj,IV:maj,I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:7(#9),I:7(#9),"
7,A,"I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,bVI:maj,bVI:maj,bVII:maj,bVII:maj,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,bVI:maj,bVI:maj,bVII:maj,bVII:maj,I:min,I:min,I:min,I:min,IV:min,IV:min,bIII:maj,bVI:maj,bVII:maj,V:7,I:min,I:min,IV:min,IV:min,bIII:maj,bVI:maj,bVII:maj,V:7,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,bVI:maj,bVI:maj,bVII:maj,bVII:maj,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,I:min,bVI:maj,bVI:maj,bVII:maj,bVII:maj,I:min,I:min,I:min,I:min,IV:min,IV:min,bIII:maj,bVI:maj,bVII:maj,V:7,I:min,I:min,IV:min,IV:min,bIII:maj,bVI:maj,bVII:maj,V:7,I:min,I:min,I:min,I:min,IV:min,IV:min,bIII:maj,bVI:maj,bVII:maj,V:7,I:min,I:min,IV:min,IV:min,bIII:maj,bVI:maj,bVII:maj,V:7,I:min,I:min,I:min,I:min,I:min,I:min,"
8,C,"I:maj G,VI:min,I:min7,I:min7,IV:maj,IV:maj,I:maj,I:maj,I:min,I:min,IV:min,IV:min,bVI:maj,bVII:maj,I:maj(9),I:maj(9),I:min,I:min,IV:min,IV:min,bVI:maj,bVII:maj,I:maj(9),I:maj(9),IV:sus2 F,V:min7,IV:min9,V:min7,IV:min9,V:min7,IV:min9,IV:maj,I:maj G,VI:min,I:min7,I:min7,IV:maj,IV:maj,I:maj,I:maj,I:maj G,VI:min,I:min7,I:min7,IV:maj,IV:maj,I:maj,I:maj,I:min,I:min,IV:min,IV:min,bVI:maj,bVII:maj,I:maj(9),I:maj(9),I:min,I:min,IV:min,IV:min,bVI:maj,bVII:maj,I:maj(9),I:maj(9),IV:sus2 F,V:min7,IV:min9,V:min7,IV:min9,V:min7,IV:min9,IV:maj,I:maj G,VI:min,I:min7,I:min7,IV:maj,IV:maj,I:maj,I:maj,V:maj,V:maj,IV:maj,IV:maj,VI:hdim7,VI:hdim7,II:min7,V:11,I:maj G,VI:min,I:min7,I:min7,IV:maj,IV:maj,I:maj,I:maj,I:maj G,VI:min,I:min7,I:min7,IV:maj,IV:maj,I:maj,I:maj,I:maj G,VI:min,I:min7,I:min7,IV:maj,IV:maj,I:maj,I:maj,I:maj G,VI:min,I:min7,I:min7,IV:maj,"
9,Db,"VI:min,II:min,IV:maj6,V:maj,I:maj,I:maj Gb,V:maj Db,I:maj Gb,V:maj,I:maj Gb,V:maj Db,VI:min Bb,V:maj,IV:maj,I:maj,V:maj,I:maj Db,IV:maj,I:maj,V:maj,IV:maj Db,VI:min,II:min,IV:maj6,V:maj,I:maj,I:maj Gb,V:maj Db,I:maj Gb,V:maj,I:maj Gb,V:maj Db,VI:min Bb,V:maj,IV:maj,I:maj,V:maj,I:maj Db,IV:maj,I:maj,V:maj,VI:min,IV:maj,I:maj,V:maj,I:maj Db,IV:maj,I:maj,V:maj,IV:maj Db,"
10,G,"I:maj,V:maj,IV:maj,V:maj,I:maj,V:maj,IV:maj,V:maj,I:maj,V:maj,IV:maj,V:maj,I:maj,V:maj,IV:maj,V:maj,I:maj,V:maj,IV:maj,VI:min,I:maj,V:maj,IV:maj,VI:min,II:min,III:min,VI:min,VI:min,II:min,III:min,IV:maj,V:maj,I:maj,V:maj,IV:maj,V:maj,I:maj,V:maj,IV:maj,V:maj,I:maj,V:maj,IV:maj,VI:min,I:maj,V:maj,IV:maj,VI:min,II:min,III:min,VI:min,VI:min,II:min,III:min,IV:maj,V:maj,I:maj,V:maj,IV:maj,V:maj,I:maj,V:maj,IV:maj,V:maj,VI:min,V:maj,VI:min D,IV:maj,VI:min,V:maj,VI:min D,IV:maj,IV:maj,I:maj,V:maj,IV:maj,V:maj,I:maj,V:maj,IV:maj,V:maj,I:maj,V:maj,IV:maj,V:maj,I:maj,V:maj,IV:maj,V:maj,II:min,III:min,VI:min,VI:min,II:min,III:min,IV:maj,V:maj,V:maj,I:maj,V:maj,IV:maj,V:maj,I:maj,V:maj,IV:maj,V:maj,I:maj,V:maj,IV:maj,V:maj,I:maj,V:maj,IV:maj,V:maj,I:maj,V:maj,IV:maj,V:maj,I:maj,V:maj,IV:maj,V:maj,I:maj C,I:maj C,I:maj C,I:maj,"
11,G,"V:maj,I:maj,I:maj,I:maj,I:maj,I:maj,V:maj,bVII:maj,IV:maj G,VI:min,I:maj7,IV:maj7,I:maj,I:maj,V:maj,bVII:maj,IV:maj G,VI:min,I:maj,IV:maj,I:maj,III:sus4(b7,VI:min7,V:maj G,IV:maj C,IV:maj6,III:min,V:maj,I:maj,V:maj,bVII:maj,IV:maj G,VI:min,I:maj,V:maj7,II:maj,II:maj,VI:maj,I:maj,V:maj A,II:maj,V:maj,II:maj,VI:maj A,V:maj7 D,V:maj6,V:maj13,V:maj13,II:maj,II:maj,bVII:maj G,II:maj,"
