Song_ID,Tonic,Chords
1,C,"A:min,C:maj,F:maj,D:maj,G:maj,A:maj,"
2,Ab,"Ab:maj,Db:maj,G:hdim7 C:7,F:min,C:7,F:min C:7,Bb:min7,Eb:7,G:hdim7,C:min7,Eb:11,Eb:maj,Ab:7,Ab:maj7,Gb:maj Db:maj,Db:maj7 C:min7,Gb:maj(9),Gb:7,F:min7,"
3,C,"C:5,C:maj,G:maj,F:maj,F:sus2,C:maj(9),G:maj(9),F:maj(9),E:min,A:min(11),"
4,C,"C:maj,D:min,F:maj,G:maj,G:min7,Bb:maj,C:maj F:maj,C:maj D:min7,F:maj Bb:maj,F:maj G:maj,"
5,D,"E:min,G:maj,A:maj,D:maj,A:maj A:maj,E:min F#:maj,G:maj A:maj,E:min A:maj6,E:min F#:min,"
6,Eb,"Db:min(9),Gb:maj6(b7),Eb:7,Eb:7(#9),Ab:7,Db:maj,Ab:maj,"
7,A,"A:min,F:maj,G:maj,D:min,C:maj,E:7,"
8,C,"C:maj G:maj,A:min,C:min7,F:maj,C:maj,C:min,F:min,Ab:maj,Bb:maj,C:maj(9),F:sus2 F:min,G:min7,F:min9,G:maj,A:hdim7,D:min7,G:11,"
9,Db,"Bb:min,Eb:min,Gb:maj6,Ab:maj,Db:maj,Db:maj Gb:maj,Ab:maj Db:maj,Bb:min Bb:min,Gb:maj,Db:maj Db:7,Gb:maj Db:maj,"
10,G,"G:maj,D:maj,C:maj,E:min,A:min,B:min,E:min D:maj,G:maj C:maj,"
11,G,"D:maj,G:maj,F:maj,C:maj G:maj,E:min,G:maj7,C:maj7,C:maj,B:sus4(b7,E:min7,D:maj G:maj,C:maj C:maj7,C:maj6,B:min,D:maj7,A:maj,E:maj,D:maj A:maj,E:maj A:maj,D:maj7 D:maj6,D:maj6,D:maj13,F:maj G:maj,"
12,E,"E:maj A:maj,E:maj,Bb:maj F:maj,C:maj F:maj,Bb:maj C:maj,F:maj,Bb:maj G:maj,C:maj,D:maj A:maj,B:min,G:maj,"
13,A,"A:min D:min,G:maj C:maj,G:maj,E:min,D:maj,D:7,E:maj,"
14,B,"B:maj,B:sus4,E:maj,E:min,D:maj,G:maj,C:maj,"
15,E,"E:7(#9),C:maj D:maj,C:maj A:maj,G:maj D:maj,A:maj,"
16,F,"F:maj,Bb:maj,C:maj,C:sus4,"
17,Ab,"Ab:maj,Db:maj,Db:maj Eb:maj,Db:maj Ab:maj Eb:maj,F:min F:maj,Bb:maj,Eb:maj,Gb:maj,Bb:min,"
18,A,"C:maj,E:maj,D:min,A:min,F:maj,G:maj,D:maj,D:min E:min,C:maj F:maj,B:min7,A:maj,E:7,"
19,C,"G:min,A:min,F:maj,C:maj,F:min,G:maj,D:min,D:min G:sus4,E:min,D:maj,"
20,C,"C:7(#9),Eb:5 C:5,Eb:5,Bb:5 C:5 F#:5,F:7,Bb:7,Eb:5 D:5 C:5 Bb:5,Ab:5 G:5 F:5 Eb:5,F:5 G:5 Ab:5 C:5,Db:5 Bb:5 Ab:7 A:5,Bb:5 B:5,C:5 C:5,C:5,C:1,C:5 F:5,Bb:5 Eb:5,Ab:5 Db:5,C:7,"
21,Ab,"Ab:maj,F:min,Eb:7,"
22,E,"E:maj,A:maj G:maj E:maj,A:maj,E:maj D:maj,A:maj E:maj,D:maj A:maj,B:maj,"
23,B,"B:min,B:min7,"
24,A,"A:maj,D:maj,G:maj,E:maj,C:maj,B:maj,E:7,A:min,D:min,G:maj D:maj,"
25,G,"C:maj,D:maj,G:maj,A:maj,A:min,B:min7,D:sus2(b7),Eb:maj,F:maj,B:maj7,Ab:min7,Bb:min7,Db:maj,Bb:sus4(b7),A:min7,"
26,E,"D:1,E:min,C:maj,D:maj,C:maj D:sus4,"
27,C,"C:maj,F:maj C:maj,F:maj G:sus4(b7,"
28,A,"B:min7,E:sus4(b7,A:maj9,E:sus4(b7),E:maj7,E:maj,B:9,D:maj6,A:maj,D:maj7,A:maj6,A:maj7,B:min7 E:7,A:9,B:hdim7,B:min7 E:sus4(b7),A:11,A:13,B:min7 F:maj,"
29,G,"G:maj,C:maj,D:maj,"
30,D,"C:sus2,D:5,F:maj,D:5 C:maj,D:5 F:5,D:5 C:5,D:min,D:min C:maj,Bb:maj C:maj,Eb:maj(9) F:maj(9),C:sus4(b7,Eb:9,C:maj,Bb:maj,A:min,Bb:sus4(b7,"
31,G,"G:maj,D:maj,C:maj G:maj,Bb:maj6,C:maj,D:maj G:maj,D:maj A:maj,G:maj A:maj,G:maj D:maj,A:maj E:maj,A:1 D:1,"
32,E,"E:maj,A:maj,B:maj,"
33,E,"E:min7,E:min9 E:min7,A:min7,Bb:1 A:1,"
34,Bb,"F:7,Bb:maj D:hdim7,G:7,C:min7,Bb:maj B:dim,C:min,Bb:maj Eb:maj,Bb:7,Eb:maj,Bb:maj F:7,Bb:maj,C:9,C:7,F:7 F:sus4(b7),C:min7 F:7,"
35,C,"G:13,C:maj,F:maj,G:maj,Bb:maj,G:13 G:dim,G:sus4(b7),C:min9,C:min7,Eb:min9,Bb:maj7 Bb:maj6,Bb:aug Bb:maj,A:7,A:1(b5,D:7,Eb:maj,C:min7 F:9,Bb:maj7,G:min,"
36,E,"E:min,A:min,B:7,C:maj,E:min A:min,B:7 C:maj,F:maj D:maj,G:maj A:maj,"
37,E,"C:maj7,D:maj6,D:maj,E:min,E:maj,B:7,D:sus4 D:maj,B:sus4(b7) B:min7,A:min,B:sus4(b7),"
38,G,"G:maj,A:min,D:maj,C:maj,A:7,D:maj A:min7,F:maj,B:min,B:7,G:maj C:maj,C:maj6,C:maj D:maj,D:maj C:maj,"
39,F,"F:maj,Bb:maj,C:maj,D:min,Bb:min,C:7,"
40,Eb,"Eb:maj,Ab:maj,Bb:maj,"
41,E,"E:5,A:maj,E:maj,D:maj,C:maj,C:maj7,A:7,G:maj B:maj,G:maj,A:maj F#:min,"
42,C,"C:maj,G:min9,D:hdim7,Ab:maj(9),Eb:maj(9) Eb:maj,Eb:maj,D:min7 G:7,G:7,D:min7,G:maj,"
