Song_ID,Tonic,Chords
1,C,"VI:min,I:maj,IV:maj,II:maj,V:maj,VI:maj,"
2,Ab,"I:maj,IV:maj,VII:hdim7 C,VI:min,III:7,VI:min C,II:min7,V:7,VII:hdim7,III:min7,V:11,V:maj,I:7,I:maj7,bVII:maj Db,IV:maj7 C,bVII:maj(9),bVII:7,VI:min7,"
3,C,"I:5,I:maj,V:maj,IV:maj,IV:sus2,I:maj(9),V:maj(9),IV:maj(9),III:min,VI:min(11),"
4,C,"I:maj,II:min,IV:maj,V:maj,V:min7,bVII:maj,I:maj F,I:maj D,IV:maj Bb,IV:maj G,"
5,D,"II:min,IV:maj,V:maj,I:maj,V:maj A,II:min F#,IV:maj A,II:min A,II:min F#,"
6,Eb,"bVII:min(9),bIII:maj6(b7),I:7,I:7(#9),IV:7,bVII:maj,IV:maj,"
7,A,"I:min,bVI:maj,bVII:maj,IV:min,bIII:maj,V:7,"
8,C,"I:maj G,VI:min,I:min7,IV:maj,I:maj,I:min,IV:min,bVI:maj,bVII:maj,I:maj(9),IV:sus2 F,V:min7,IV:min9,V:maj,VI:hdim7,II:min7,V:11,"
9,Db,"VI:min,II:min,IV:maj6,V:maj,I:maj,I:maj Gb,V:maj Db,VI:min Bb,IV:maj,I:maj Db,IV:maj Db,"
10,G,"I:maj,V:maj,IV:maj,VI:min,II:min,III:min,VI:min D,I:maj C,"
11,G,"V:maj,I:maj,bVII:maj,IV:maj G,VI:min,I:maj7,IV:maj7,IV:maj,III:sus4(b7,VI:min7,V:maj G,IV:maj C,IV:maj6,III:min,V:maj7,II:maj,VI:maj,V:maj A,VI:maj A,V:maj7 D,V:maj6,V:maj13,bVII:maj G,"
12,E,"I:maj A,I:maj,#IV:maj F,bVI:maj F,#IV:maj C,bII:maj,#IV:maj G,bVI:maj,bVII:maj A,V:min,bIII:maj,"
13,A,"I:min D,bVII:maj C,bVII:maj,V:min,IV:maj,IV:7,V:maj,"
14,B,"I:maj,I:sus4,IV:maj,IV:min,bIII:maj,bVI:maj,bII:maj,"
15,E,"I:7(#9),bVI:maj D,bVI:maj A,bIII:maj D,IV:maj,"
16,F,"I:maj,IV:maj,V:maj,V:sus4,"
17,Ab,"I:maj,IV:maj,IV:maj Eb,IV:maj Ab,VI:min F,II:maj,V:maj,bVII:maj,II:min,"
18,A,"bIII:maj,V:maj,IV:min,I:min,bVI:maj,bVII:maj,IV:maj,IV:min E,bIII:maj F,II:min7,I:maj,V:7,"
19,C,"V:min,VI:min,IV:maj,I:maj,IV:min,V:maj,II:min,II:min G,III:min,II:maj,"
20,C,"I:7(#9),bIII:5 C,bIII:5,bVII:5 C,IV:7,bVII:7,bIII:5 D,bVI:5 G,IV:5 G,bII:5 Bb,bVII:5 B,I:5 C,I:5,I:1,I:5 F,bVII:5 Eb,bVI:5 Db,I:7,"
21,Ab,"I:maj,VI:min,V:7,"
22,E,"I:maj,IV:maj G,IV:maj,I:maj D,IV:maj E,bVII:maj A,V:maj,"
23,B,"I:min,I:min7,"
24,A,"I:maj,IV:maj,bVII:maj,V:maj,bIII:maj,II:maj,V:7,I:min,IV:min,bVII:maj D,"
25,G,"IV:maj,V:maj,I:maj,II:maj,II:min,III:min7,V:sus2(b7),bVI:maj,bVII:maj,III:maj7,bII:min7,bIII:min7,#IV:maj,bIII:sus4(b7),II:min7,"
26,E,"bVII:1,I:min,bVI:maj,bVII:maj,bVI:maj D,"
27,C,"I:maj,IV:maj C,IV:maj G,"
28,A,"II:min7,V:sus4(b7,I:maj9,V:sus4(b7),V:maj7,V:maj,II:9,IV:maj6,I:maj,IV:maj7,I:maj6,I:maj7,II:min7 E,I:9,II:hdim7,II:min7 E,I:11,I:13,II:min7 F,"
29,G,"I:maj,IV:maj,V:maj,"
30,D,"bVII:sus2,I:5,bIII:maj,I:5 C,I:5 F,I:5 C,I:min,I:min C,bVI:maj C,bII:maj(9) F,bVII:sus4(b7,bII:9,bVII:maj,bVI:maj,V:min,bVI:sus4(b7,"
31,G,"I:maj,V:maj,IV:maj G,bIII:maj6,IV:maj,V:maj G,V:maj A,I:maj A,I:maj D,II:maj E,II:1 D,"
32,E,"I:maj,IV:maj,V:maj,"
33,E,"I:min7,I:min9 E,IV:min7,#IV:1 A,"
34,Bb,"V:7,I:maj D,VI:7,II:min7,I:maj B,II:min,I:maj Eb,I:7,IV:maj,I:maj F,I:maj,II:9,II:7,V:7 F,II:min7 F,"
35,C,"V:13,I:maj,IV:maj,V:maj,bVII:maj,V:13 G,V:sus4(b7),I:min9,I:min7,bIII:min9,bVII:maj7 Bb,bVII:aug Bb,VI:7,VI:1(b5,II:7,bIII:maj,I:min7 F,bVII:maj7,V:min,"
36,E,"I:min,IV:min,V:7,bVI:maj,I:min A,V:7 C,bII:maj D,bIII:maj A,"
37,E,"bVI:maj7,bVII:maj6,bVII:maj,I:min,I:maj,V:7,bVII:sus4 D,V:sus4(b7) B,IV:min,V:sus4(b7),"
38,G,"I:maj,II:min,V:maj,IV:maj,II:7,V:maj A,bVII:maj,III:min,III:7,I:maj C,IV:maj6,IV:maj D,V:maj C,"
39,F,"I:maj,IV:maj,V:maj,VI:min,IV:min,V:7,"
40,Eb,"I:maj,IV:maj,V:maj,"
41,E,"I:5,IV:maj,I:maj,bVII:maj,bVI:maj,bVI:maj7,IV:7,bIII:maj B,bIII:maj,IV:maj F#,"
42,C,"I:maj,V:min9,II:hdim7,bVI:maj(9),bIII:maj(9) Eb,bIII:maj,II:min7 G,V:7,II:min7,V:maj,"
43,C,"I:7(#9),I:maj,IV:maj,bVII:maj,III:maj,IV:maj G,bVI:maj Eb,V:sus4,bIII:maj,V:maj,I:maj G,VI:min,IV:maj D,II:min,II:maj,III:7,III:min,II:min7 D,II:min7,II:7(#9),V:maj F,V:5,IV:5,I:5,bVII:5,bIII:maj F,bVII:maj F,V:min,bIII:maj Bb,IV:maj Bb,"
44,A,"I:maj,bVII:maj,IV:maj,V:maj,IV:maj E,"
45,A,"bIII:maj,V:maj,IV:min,I:min,bVI:maj,bVII:maj,IV:maj,IV:min E,bIII:maj F,II:min7,I:maj,V:7,"
46,Ab,"I:1,I:maj,bVII:maj,II:7,V:7,"
47,D,"I:maj,bVII:maj,IV:maj D,V:maj,IV:maj,I:maj C,IV:1,I:1,V:min,"
48,D,"bII:maj,bIII:min9 Bb,#IV:min9 Db,II:min9 A,I:maj,IV:maj7,bVII:9(13,VI:9,bVI:9,I:maj G,IV:min9,"
49,A,"bVII:maj9,I:maj,V:min7 E,V:min9,II:1,V:1 F#,bVII:1 F#,I:1(11,II:min Bb,I:sus4 A,II:min E,bVII:maj7,II:5(b7),V:min7,"
50,D,"I:min7,bVII:7,bIII:7,IV:7,IV:9,I:maj6(b7,"
51,F,"I:maj C,IV:maj C,I:maj C,IV:maj C,"
52,Db,"I:maj Gb,V:maj,IV:maj Ab,I:maj,IV:maj,V:sus4,V:maj Gb,"
53,C,"I:5,I:5 C,I:sus4(b7,I:5(b7),I:5(b7) C,I:5(13),I:maj(9),V:min7,IV:maj9,IV:min,VI:min,bVII:maj(9),bIII:maj9,V:11,I:maj,IV:min7 Eb,I:sus4 C,bVII:11,bIII:maj7,bII:11,#IV:maj7,VII:11,III:maj7,bVI:min7,bVI:min7 Db,bII:maj,#IV:min7 Fb,bVI:11,"
54,E,"bII:maj,I:min,bVI:maj,IV:min,bVII:maj,bVI:7,I:7,bII:min,bII:maj7,#IV:maj,bVI:maj F,IV:maj,bIII:maj,I:maj,"
55,C,"I:sus2,bVII:maj6(9),I:maj,V:min11,IV:maj,V:7,V:min7,V:min6,"
56,C,"I:5,bVI:maj,bIII:maj,V:maj,I:min,bVI:maj7,bVII:maj(9),IV:maj,bVII:maj,V:sus4(b7),V:7,bVI:5,"
57,G,"I:maj,VI:min9,IV:maj9,III:min7,II:min,bVII:maj6(9),V:1,III:min,IV:maj,bVI:maj,VI:min7,I:maj G,IV:maj C,bVII:maj9,bII:maj,II:min7,VI:min9 E,"
58,D,"I:min,bVII:maj,I:5,bVII:5,bVII:sus4,bVI:maj,bIII:maj,V:min,I:min7,"
59,G,"I:maj,II:min7(11),III:min,II:min,IV:maj,V:maj,I:maj F,bVII:maj,"
60,D,"I:maj,bVII:maj,IV:maj D,V:maj,IV:maj,I:maj C,IV:1,I:1,V:min,"
61,D,"I:min7,I:min,bVI:maj,V:7,V:7(b9) A,IV:min7,V:sus4,bVI:maj7,bVII:maj A,"
62,C,"I:5,I:sus4(b7),bVI:maj,IV:min G,I:min,bIII:maj,IV:maj,V:min,I:maj,V:min7,IV:min7,"
63,D,"II:min G,II:maj,I:sus2,II:1(b3,IV:maj,I:5 D,I:5 E,V:maj,I:maj,II:min,V:maj D,"
64,B,"I:maj,IV:maj,I:maj(9),IV:maj B,IV:maj F#,V:maj,VI:maj,II:maj,II:maj Ab,"
65,Eb,"V:sus4(b7,IV:7(b9),I:maj6,II:min7,V:7,I:maj Eb,I:maj7 Eb,I:maj7,I:maj,IV:maj,V:maj,II:min7 Bb,I:maj Eb,II:min7 Eb,IV:maj9 Ab,IV:min(9) Ab,II:sus4(b7,V:7(b9),I:maj Eb,I:maj6 Eb,V:sus4(b7) Bb,"
66,A,"I:maj(9),IV:min6,I:5,I:1(#5),IV:maj,bVII:min,I:maj,IV:min,V:min,IV:min7,IV:sus4,V:maj,bVI:maj(9) G,II:min,"
67,E,"I:1,IV:1,I:maj,V:maj,IV:maj,bVII:maj,IV:maj B,"
68,A,"I:maj(9),V:maj,I:sus2(b7),IV:maj6(9),IV:min9,I:maj,IV:min6,V:7,IV:maj6,II:min7,IV:maj,IV:min,"
69,G,"V:maj C,I:maj,V:maj C,I:maj C,"
70,G,"V:7,I:maj,VI:min A,V:maj,IV:maj,II:min,bIII:maj,bIII:maj D,IV:min,bIII:maj Bb,bVI:maj Eb,bIII:maj Bb,"
